rating,major,title,image_urls,link,images,rating_nums
7.6,"
      
          导演: 中江功
            
          主演: 相叶雅纪 / 泽尻英龙华 / 有村架纯
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2015
    ","
        欢迎来我家 ようこそ、わが家へ
      ",,http://movie.douban.com/subject/26317175/,,
8.0,"
      
          导演: 土井裕泰 / 山室大辅  / 福田亮介
            
          主演: 新垣结衣 / 绫野刚 / 水野美纪
            
          类型: 剧情 / 喜剧
            
          制片国家/地区: 日本
            
          年份: 2013
    ","
        飞翔情报室 空飛ぶ広報室
      ",,http://movie.douban.com/subject/21353042/,,
8.8,"
      
          导演: 松冈锭司 / 山下敦弘 / 熊切和嘉 / 野本史生 
            
          主演: 小林薰 / 绫田俊树 / 不破万作
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2014
    ","
        深夜食堂3
      ",,http://movie.douban.com/subject/25958786/,,
7.7,"
      
          导演: 渡边孝好 / 山内宗信 / 金澤友也
            
          主演: 铃木京香 / 高桥一生 / 品川彻
            
          制片国家/地区: 日本
            
          年份: 2015
    ","
        所以去荒野 だから荒野
      ",,http://movie.douban.com/subject/25958427/,,
8.8,"
      
          导演: 土井裕泰 / 片山修 / 坪井敏雄 
            
          主演: 松冈昌宏 / 小泉今日子 / 及川光博
            
          类型: 喜剧
            
          制片国家/地区: 日本
            
          年份: 2003
    ","
        曼哈顿爱情故事 マンハッタンラブストーリー
      ",,http://movie.douban.com/subject/1480841/,,
7.6,"
      
          导演: 佐藤东弥 / 佐久间纪佳
            
          主演: 志田未来 / 田中美佐子 / 山口纱弥加
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2006
    ","
        14岁的母亲 14才の母 愛するために 生まれてきた
      ",,http://movie.douban.com/subject/2017805/,,
7.8,"
      
          导演: 平山秀幸
            
          主演: 夏帆 / 高桥一生 / 村上淳
            
          类型: 悬疑
            
          制片国家/地区: 日本
            
          年份: 2012
    ","
        银线草 ヒトリシズカ
      ",,http://movie.douban.com/subject/10827181/,,
8.4,"
      
          导演: 松原浩 / 远藤环 / 平野俊一 
            
          主演: 堂本刚 / 广末凉子 / 今井翼
            
          类型: 剧情 / 爱情
            
          制片国家/地区: 日本
            
          年份: 2000
    ","
        夏之雪 Summer Snow
      ",,http://movie.douban.com/subject/1481065/,,
9.0,"
      
          导演: 宫本理江子 / 西浦正记 
            
          主演: 二宫和也 / 高岛礼子 / 横山裕
            
          类型: 剧情 / 家庭
            
          制片国家/地区: 日本
            
          年份: 2007
    ","
        敬启，父亲大人 拝啓、父上樣
      ",,http://movie.douban.com/subject/1959063/,,
8.6,"
      
          导演: 田村直己 / 松田秀知
            
          主演: 米仓凉子 / 藤木直人 / 内田有纪
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2013
    ","
        X医生：外科医生大门未知子 第二季 ドクターX 外科医・大門未知子 第2期
      ",,http://movie.douban.com/subject/25704580/,,
8.9,"
      
          导演: 田中健二 / 末永創 / 安達もじり / 小島史敬
            
          主演: 尾野真千子 / 麻生祐未 / 正司照枝
            
          类型: 传记
            
          制片国家/地区: 日本
            
          年份: 2011
    ","
        康乃馨 カーネーション
      ",,http://movie.douban.com/subject/6539388/,,
8.6,"
      
          导演: 中江功 / 永山耕三
            
          主演: 江口洋介 / 福山雅治 / 石田壹成
            
          类型: 剧情 / 爱情
            
          制片国家/地区: 日本
            
          年份: 1993
    ","
        同一屋檐下 ひとつ屋根の下
      ",,http://movie.douban.com/subject/1465790/,,
9.6,"
      
          导演: 富永卓二 / 杉田成道 / 山田良明
            
          主演: 田中邦卫 / 中岛朋子 / 岩城滉一
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 1981
    ","
        北国之恋 北の国から
      ",,http://movie.douban.com/subject/1959154/,,
8.0,"
      
          导演: 藤田明二
            
          主演: 竹野内丰 / 常盘贵子 / 反町隆史
            
          类型: 剧情 / 传记 / 历史 / 古装
            
          制片国家/地区: 日本
            
          年份: 2003
    ","
        流转的王妃，最后的皇弟 流転の王妃・最後の皇弟
      ",,http://movie.douban.com/subject/1461812/,,
7.9,"
      
          导演: 水田成英 
            
          主演: 竹内结子 / 江口洋介 / 妻夫木聪
            
          类型: 喜剧 / 爱情
            
          制片国家/地区: 日本
            
          年份: 2002
    ","
        午餐女王 ランチの女王
      ",,http://movie.douban.com/subject/1480881/,,
8.1,"
      
          导演: 光野道夫 / 宫本理江子 / 林彻
            
          主演: 浅野温子 / 武田铁矢 / 江口洋介
            
          类型: 剧情 / 爱情
            
          制片国家/地区: 日本
            
          年份: 1991
    ","
        101次求婚 101回目のプロポーズ
      ",,http://movie.douban.com/subject/1465300/,,
8.3,"
      
          导演: 水田成英 
            
          主演: 杏 / 尾野真千子 / 仓科加奈
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2011
    ","
        丧失名字的女神 名前をなくした女神
      ",,http://movie.douban.com/subject/6005599/,,
9.0,"
      
          导演: 金子文纪 / 片山修 / 宫藤官九郎
            
          主演: 冈田准一 / 樱井翔 / 冈田义德
            
          类型: 喜剧 / 剧情
            
          制片国家/地区: 日本
            
          年份: 2002
    ","
        木更津猫眼 木更津キャッツアイ
      ",,http://movie.douban.com/subject/1465676/,,
8.3,"
      
          导演: 中江功 / 平野真
            
          主演: 木村拓哉 / 深津绘里 / 柴崎幸
            
          类型: 剧情 / 爱情 / 悬疑
            
          制片国家/地区: 日本
            
          年份: 2002
    ","
        从天而降的一亿颗星星 空から降る一億の星
      ",,http://movie.douban.com/subject/1466387/,,
7.9,"
      
          导演: 若松节朗 / 平野真
            
          主演: 松岛菜菜子 / 堤真一 / 矢田亚希子
            
          类型: 喜剧 / 剧情 / 爱情
            
          制片国家/地区: 日本
            
          年份: 2000
    ","
        大和抚子 やまとなでしこ
      ",,http://movie.douban.com/subject/1483813/,,
8.9,"
      
          导演: 三宅喜重 / 小松隆志 / 植田尚
            
          主演: 阿部宽 / 夏川结衣 / 国仲凉子
            
          类型: 喜剧
            
          制片国家/地区: 日本
            
          年份: 2006
    ","
        不能结婚的男人 結婚できない男
      ",,http://movie.douban.com/subject/2160933/,,
7.7,"
      
          导演: 永山耕三 / 西浦正记 
            
          主演: 山下智久 / 北川景子 / 相武纱季
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2009
    ","
        零秒出手：悬崖上的英雄 ブザー・ビート〜崖っぷちのヒーロー〜
      ",,http://movie.douban.com/subject/3737098/,,
8.0,"
      
          导演: 吉野洋
            
          主演: 筱原凉子 / 赤西仁 / 友坂理惠
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2005
    ","
        大姐头 anego
      ",,http://movie.douban.com/subject/1432676/,,
8.2,"
      
          导演: 光野道夫 / 石井祐介
            
          主演: 天海祐希 / 竹野内丰 / 户田惠梨香
            
          类型: 剧情
            
          制片国家/地区: 日本
            
          年份: 2011
    ","
        老大2 BOSS 2
      ",,http://movie.douban.com/subject/5951228/,,
